Model,R²,RMSE,MAE
LightGBM,0.5026747878379778,1.341775623937847,0.9822326942791527
MLP,0.47553842731418783,1.3778961794430828,0.9623912420897834
XGBoost,0.4107166068867033,1.4605679302473316,1.0704163565449785
Lasso,0.40179631565636065,1.471581099470373,1.1234761562964588
Ridge,0.38112283628245214,1.4967934994031649,1.1015131072046873
Random Forest,0.36539209249823845,1.5156970283412246,1.1379132575118496
