C,Accuracy,Macro F1,Log Loss,ROC AUC
100.0,0.7157088122605364,0.714990818902127,0.5989477971498651,0.7871466384634358
10.0,0.6775862068965517,0.6740329575021682,0.6067780412655778,0.7827193045030058
1.0,0.6701149425287356,0.6671093930076692,0.6013879952234564,0.7905165023963477
0.1,0.668007662835249,0.6647954023078799,0.5602381501854901,0.7929704313425835
0.01,0.7844827586206896,0.7746760774368393,0.5015906720406549,0.8387147379009833
0.001,0.8078544061302682,0.79983235444514,0.4751097651262334,0.8602075857341143
