Model,Accuracy,Macro F1,Log Loss,ROC AUC
XGBoost,0.8237547892720306,0.8159034798167744,0.41362737617010503,0.8849441023489527
MLP,0.8124521072796935,0.7987728735605208,0.4488559419798517,0.8821243585961417
Random Forest,0.8155172413793104,0.801891201545,0.4501736224588426,0.8621348199474786
LightGBM,0.8059386973180077,0.7968346788717648,0.4374491374929833,0.8594008435579114
Gaussian NB,0.7919540229885057,0.7863692219011832,6.132179782383007,0.8467537468625015
KNN,0.6796934865900384,0.6759371817513347,0.9877681605323002,0.809945417196636
Logistic Regression,0.668007662835249,0.6647954023078799,0.5604904962351318,0.7928855707708453
